1,0.369153896968,12.6666666667
6,0.528680245082,14.3333333333
11,0.358698606491,14.3333333333
16,0.520823001862,15.6666666667
21,0.0297490755717,12.0
26,0.368261655172,13.6666666667
31,0.534794251124,16.0
36,0.195529699326,13.0
41,0.363068977992,13.6666666667
46,0.532677014669,13.6666666667
51,0.360998709997,13.6666666667
56,0.364802281062,12.6666666667
61,0.520195960999,16.3333333333
66,0.525633653005,14.6666666667
71,0.201461712519,12.3333333333
76,0.197923739751,12.3333333333
81,0.368965625763,14.6666666667
86,0.530612389247,17.0
91,0.516596714656,14.6666666667
96,0.521592378616,14.3333333333
101,0.852164983749,19.3333333333
